"","response.docs.lead_paragraph"
"2919","As a kid growing up in New York City, the fashion designer Mary Ping loved origami. But instead of making cranes or flowers, she preferred to transform the sheets of printed paper into utilitarian objects, like boxes. “There was something about the ingenuity of a flat object being folded up to be 3-D in order to hold something,” says Ping, 41. One day, inspired by Angus MacGyver, the resourceful secret agent and titular character of the 1980s television series — “He was always finding solutions with little more than chewing gum and a toothpick,” says Ping — she folded a paper tea set for her dolls. “My mom was so annoyed,” she says of the water-soaked mess that ensued. Another creation that stands out in Ping’s mind is a paper boat she made, and that her father, who’d trained as a mechanical engineer, improved upon with side panels made from leftover paper — suddenly, the ordinary canoe was a catamaran. “It even had a canopy,” Ping recalls. “I was like, Oh my god. That probably informed a lot of how my brain works.”"
"2920","TOKYO — SoftBank warned investors on Monday that the value of its technology fund may have dropped by as much as $16.7 billion over the last fiscal year, as its investments have been hit hard by the fallout from the coronavirus and by big bets on unprofitable companies like WeWork."
"2921","CARACAS, Venezuela — Only a month ago, President Nicolás Maduro seemed to be consolidating his autocratic rule. The opposition was fading into irrelevance, international pressure was waning and the country’s devastating economic woes were finally easing, if only a bit."
"2922","The Saturday, April 11 puzzle by Erik Agard and Wyna Liu was difficult for many solvers, but one of the clues that tripped people up the most was “Rectangle on a staff” (A rectangle? On what kind of staff?)."
"2923","The Brooklyn Hospital Center’s maternity floor is a place of anxiety for staff and patients. But amid the fear, mothers with Covid-19 are experiencing moments of joy and gratitude."
"2924","As the coronavirus tears through the country, scientists are asking: Are some people more infectious than others? Are there superspreaders, people who seem to just spew out virus, making them especially likely to infect others?"
"2925","LOS ANGELES — California, Oregon and Washington have more ventilators than they can use. As the nation struggles to scrounge up the lifesaving machines for hospitals overrun with Covid-19 patients, these three Western states recently shipped 1,000 spares to New York and other besieged neighbors to the East."
"2926","Ruth B. Mandel was an infant when she and her parents fled Germany on the eve of World War II. They were among the 937 passengers, almost all of them Jewish refugees, aboard the ocean liner St. Louis on what was often called the Voyage of the Damned."
"2927","To the Editor:"
"2928","This guide was originally published on May 22, 2019."
"2929","Days after the U.S. Department of Justice unveiled more details in a case that has shined a light on decades-long corruption at the heart of soccer, the Swiss authorities have confirmed that they plan to drop one of two cases against Sepp Blatter, a former president of FIFA, the global governing body of soccer."
"2930","TOKYO — SoftBank warned investors on Monday that the value of its technology fund may have dropped by as much as $16.7 billion over the last fiscal year, as its investments have been hit hard by the fallout from the coronavirus and by big bets on unprofitable companies like WeWork."
"2931","The organizers of the inaugural Saudi Cup, the world’s richest horse race, are withholding the $20 million in prize money while they investigate whether the winner, Maximum Security, was aided by performance-enhancing drugs."
"2932","THE BACHELOR PRESENTS: LISTEN TO YOUR HEART 8 p.m. on ABC. It’s only been about a month since Peter Weber wrapped up his divisive stint as television’s most visible romantic free agent on “The Bachelor.” Many fans are still parsing his decision to break off his engagement with Hannah Ann to pursue a relationship with Madison, especially since the couple called things off soon after the finale aired. The franchise’s new offering starts off with a two-hour episode, and follows musicians looking for love. It should be diverting enough to help viewers forget that the most recent bachelor didn’t end his season betrothed. At the very least, it will tide us over until Clare Crawley assumes “The Bachelorette” throne. The spinoff’s contestants will perform separately and together as they try to develop ongoing relationships."
