"","response.docs.lead_paragraph"
"4433","Through conversations on Capitol Hill, engagement with local activists and policy nods toward Elizabeth Warren and Bernie Sanders, Joseph R. Biden Jr.’s campaign and its allies are ramping up overtures to progressives, aiming to improve Mr. Biden’s standing with a key part of the Democratic coalition in an effort to unite the party around his potential nomination."
"4434","WASHINGTON — From its inception, the Trump campaign has viewed its role as amplifying whatever the president says. But that role has been complicated by the coronavirus."
"4435","(Want to get this briefing by email? Here’s the sign-up.)"
"4436","It has tested at a much lower rate than Italy, which has outpaced the rest of Europe, and South Korea, where testing and monitoring have slowed the growth of new cases."
"4437","BERLIN — It has spread to every continent except Antarctica, brought the global economy to its knees and turned life upside down for millions of people. But, until Tuesday night, there was one lucky group of attractive, young people who knew nothing about the coronavirus pandemic."
"4438","More senior government figures have caught the coronavirus in Iran than anywhere else. Field hospitals have been erected in parking lots, stadiums and wedding halls to handle the overflow of patients."
"4439","Featured Article: “On the Trail of America’s First Women to Vote” by Jennifer Schuessler"
"4440","Travelers everywhere are facing disruptions from the worldwide spread of the coronavirus."
"4441","Times Insider explains who we are and what we do, and delivers behind-the-scenes insights into how our journalism comes together."
"4442","As with most parents in China, when I’m not anxiously scanning my phone for the latest news of the coronavirus outbreak, I’m consumed by another pressing question: How will I survive another day stuck indoors with my kids?"
"4443","Former Vice President Joseph R. Biden Jr. easily won the Democratic primary elections in Florida, Illinois and Arizona on Tuesday. The three states award a total of 441 delegates for the party’s presidential nomination. "
"4444",""
"4445",""
"4446",""
"4447",""
"4448",""
"4449","To the Editor:"
"4450","To the Editor:"
"4451","An unfamiliar side of the work of the great American modernist Romare Bearden is the subject of an exceptional exhibition on view (by appointment) and online at DC Moore Gallery: the improvisational abstract paintings he made from 1958 to around 1962."
"4452","The YouTube video shows two young men sitting in front of a computer screen, enthralled by what they’re watching and pausing, periodically, to marvel at it. They stare as a demonlike character — it resembles something from the costumed metal band Gwar — screams and tries to shred on its guitar. The backdrop behind it shuffles through a series of apocalyptic images: a swirling orange inferno, a black-and-white mushroom cloud, a bunch of explosions. An oil refinery belches smoke as the monster holds a microphone close to his face: “Tons of corrupt filth we keep tossin’,” it belts out, “sending Earth to hell in a pod-shaped coffin.”"
"4453","In Wisconsin, Democrats sued elections officials to extend voting deadlines."
"4454","WASHINGTON — Under pressure to upend centuries of tradition to respond to a growing pandemic, congressional leaders reluctantly agreed on Thursday to at least study the feasibility of allowing lawmakers to vote from home, after two House members tested positive for the coronavirus and a dozen others were quarantined."
"4455","Enid Devlin (a snake-eyed Margo Martindale, who wields a cane with finesse) runs a bed, breakfast & beyond, complete with a candy dish of condoms in the foyer and a retinue of young women on duty in the tiny Maine town where “Blow the Man Down” is set."
"4456","When Pam Mundus and a friend landed in Milan for a weeklong vacation on Feb. 23, uniformed airport workers in face masks, attempting to contain the spread of the new coronavirus, took their temperatures."
"4457","It looks like spring break 2020 will be remembered more for the break than the spring."
"4458","WASHINGTON — President Trump has spent two years publicly attacking the Federal Reserve and undercutting its chair, Jerome H. Powell. That animosity is making it difficult for Washington to project a united front as it stares down the most significant economic threat since the Great Recession."
